iter	Passed	Remaining
1264	5703	61926
1265	5707	61919
1266	5713	61928
1267	5718	61927
1268	5723	61926
1269	5729	61940
1270	5735	61951
1271	5739	61943
1272	5744	61939
1273	5749	61948
1274	5753	61938
1275	5757	61928
1276	5763	61941
1277	5768	61940
1278	5773	61939
1279	5780	61955
1280	5784	61952
1281	5788	61943
1282	5794	61948
1283	5801	61976
1284	5807	61987
1285	5815	62013
1286	5820	62016
1287	5825	62012
1288	5831	62030
1289	5835	62022
1290	5840	62021
1291	5847	62037
1292	5851	62028
1293	5855	62019
1294	5859	62009
1295	5865	62018
1296	5869	62010
1297	5873	62006
1298	5882	62046
1299	5889	62065
1300	5897	62096
1301	5902	62101
1302	5907	62097
1303	5914	62115
1304	5918	62105
1305	5922	62096
1306	5927	62095
1307	5932	62098
1308	5936	62088
1309	5940	62079
1310	5945	62082
1311	5949	62072
1312	5953	62062
1313	5957	62052
1314	5963	62061
1315	5967	62052
1316	5971	62043
1317	5975	62035
1318	5981	62044
1319	5986	62042
1320	5991	62039
1321	5997	62050
1322	6001	62040
1323	6005	62035
1324	6011	62047
1325	6016	62039
1326	6020	62030
1327	6024	62020
1328	6030	62029
1329	6034	62020
1330	6038	62010
1331	6042	62005
1332	6047	62006
1333	6051	61997
1334	6055	61988
1335	6060	61988
1336	6064	61979
1337	6069	61970
1338	6073	61962
1339	6078	61963
1340	6082	61954
1341	6086	61945
1342	6090	61936
1343	6095	61934
1344	6099	61925
1345	6103	61916
1346	6107	61907
1347	6112	61906
1348	6116	61896
1349	6120	61889
1350	6125	61884
1351	6129	61880
1352	6134	61872
1353	6138	61864
1354	6142	61859
1355	6146	61848
1356	6150	61840
1357	6155	61831
1358	6159	61828
1359	6164	61826
1360	6169	61830
1361	6174	61823
1362	6179	61827
1363	6184	61822
1364	6188	61815
1365	6194	61824
1366	6198	61820
1367	6203	61814
1368	6207	61809
1369	6213	61820
1370	6218	61815
1371	6222	61809
1372	6227	61811
1373	6231	61801
1374	6235	61792
1375	6240	61783
1376	6244	61781
1377	6248	61770
1378	6252	61761
1379	6257	61754
1380	6261	61748
1381	6265	61739
1382	6269	61729
1383	6273	61721
1384	6278	61718
1385	6282	61708
1386	6286	61699
1387	6290	61692
1388	6295	61690
1389	6299	61681
1390	6303	61673
1391	6309	61682
1392	6313	61671
1393	6317	61660
1394	6321	61655
1395	6327	61662
1396	6332	61658
1397	6336	61654
1398	6341	61654
1399	6346	61651
1400	6351	61649
1401	6355	61642
1402	6360	61639
1403	6364	61631
1404	6369	61628
1405	6373	61621
1406	6378	61625
1407	6383	61619
1408	6387	61609
1409	6392	61609
1410	6396	61605
1411	6401	61601
1412	6405	61598
1413	6412	61609
1414	6416	61606
1415	6421	61602
1416	6426	61603
1417	6431	61599
1418	6435	61595
1419	6440	61596
1420	6445	61596
1421	6450	61591
1422	6454	61582
1423	6459	61579
1424	6463	61571
1425	6467	61562
1426	6471	61553
1427	6476	61550
1428	6480	61543
1429	6484	61534
1430	6488	61527
1431	6494	61535
1432	6498	61527
1433	6503	61520
1434	6508	61523
1435	6512	61517
1436	6516	61508
1437	6521	61503
1438	6527	61513
1439	6532	61512
1440	6536	61508
1441	6542	61513
1442	6547	61509
1443	6551	61501
